id,Brand_name,Model_name,Year,Total_Price,Zero_Down_Payment,Owner,Oil,KM_on_Road,Transmission
266, Maruti , Maruti Vitara Brezza,2020,1062799,23641,1st Owner,Petrol,2735,ZXI + Manual
267, Maruti , Maruti Swift Dzire,2013,443099,9856,1st Owner,Diesel,161934,VDI Manual
268, Maruti , Maruti Swift Dzire,2014,491899,10942,1st Owner,Diesel,108347,VDI BS IV Manual
269, MG , MG HECTOR,2019,1835999,40841,1st Owner,Petrol,14267,SHARP DCT PETROL Automatic
270, Maruti , Maruti Vitara Brezza,2016,722999,16083,1st Owner,Diesel,39224,VDI Manual
271, Hyundai , Hyundai Grand i,2017,474199,10548,1st Owner,Petrol,40063,SPORTZ 1.2 KAPPA VTVT Manual
272, Honda , Honda City,2018,881399,19606,1st Owner,Petrol,18432,V MT PETROL Manual
273, Maruti , Maruti Baleno,2016,604699,13451,1st Owner,Diesel,85518,ALPHA DDIS 190 Manual
274, Maruti , Maruti Baleno,2019,717499,15960,1st Owner,Petrol,22695,ALPHA 1.2 K12 Manual
275, Datsun , Datsun Redi Go,2017,311399,6927,1st Owner,Petrol,13470,T (O) Manual
276, Hyundai , Hyundai i,2016,539399,11999,1st Owner,Petrol,69748,1.2 S Manual
277, Hyundai , Hyundai Verna,2019,1143799,25443,1st Owner,Petrol,25130,1.6 SX VTVT AT (O) Automatic
278, Maruti , Maruti Dzire,2017,654299,14555,1st Owner,Diesel,161435,VDI Manual
279, Hyundai , Hyundai Creta,2017,1226799,27289,1st Owner,Diesel,86684,1.6 CRDI SX PLUS AUTO Automatic
280, Honda , Honda City,2017,941599,20945,2nd Owner,Petrol,55625,ZX CVT Automatic
281, Maruti , Maruti Baleno,2015,542699,12072,1st Owner,Petrol,46926,ALPHA 1.2 K12 Manual
282, Datsun , Datsun Redi Go,2018,356099,7921,1st Owner,Petrol,15284,1.0 S AT Automatic
283, Hyundai , Hyundai Verna,2018,1131799,25176,1st Owner,Petrol,40429,1.6 SX VTVT AT (O) Automatic
284, Maruti , Maruti Vitara Brezza,2017,761599,16941,1st Owner,Diesel,43004,VDI Manual
285, Maruti , Maruti Vitara Brezza,2017,794699,17678,1st Owner,Diesel,68616,ZDI PLUS Manual
